Longitude,Latitude,Pixel,Scan
24.0283208,10.3525656,1100,1600
24.0520257,10.3510987,1200,1600
24.0757295,10.349635,1300,1600
24.0994326,10.3481744,1400,1600
24.1231349,10.3467171,1500,1600
24.1468368,10.345263,1600,1600
24.1705383,10.343812,1700,1600
24.1942397,10.3423642,1800,1600
24.2179411,10.3409195,1900,1600
24.2416426,10.339478,2000,1600
24.2653445,10.3380396,2100,1600
24.2890469,10.3366044,2200,1600
24.3127499,10.3351722,2300,1600
24.3364538,10.3337432,2400,1600
24.3601587,10.3323172,2500,1600
24.3838648,10.3308943,2600,1600
24.4075722,10.3294745,2700,1600
24.4312811,10.3280578,2800,1600
24.4549918,10.3266441,2900,1600
24.4787042,10.3252334,3000,1600
24.5024187,10.3238258,3100,1600
24.5261354,10.3224212,3200,1600
24.5498544,10.3210197,3300,1600
24.5735759,10.3196211,3400,1600
24.5973002,10.3182256,3500,1600
24.6210273,10.316833,3600,1600
24.6447574,10.3154435,3700,1600
24.6684907,10.3140569,3800,1600
24.6922274,10.3126732,3900,1600
24.7157302,10.3113063,3999,1600
23.7671234,10.3530714,0,1700
23.79085,10.3515694,100,1700
23.8145737,10.3500709,200,1700
23.8382947,10.3485756,300,1700
23.8620132,10.3470836,400,1700
23.8857294,10.345595,500,1700
23.9094434,10.3441096,600,1700
23.9331554,10.3426275,700,1700
23.9568655,10.3411487,800,1700
23.980574,10.3396732,900,1700
24.0042809,10.3382009,1000,1700
24.0279866,10.3367318,1100,1700
24.051691,10.335266,1200,1700
24.0753945,10.3338033,1300,1700
24.0990971,10.3323439,1400,1700
24.122799,10.3308877,1500,1700
24.1465005,10.3294347,1600,1700
24.1702016,10.3279848,1700,1700
24.1939026,10.3265381,1800,1700
24.2176036,10.3250945,1900,1700
24.2413047,10.3236541,2000,1700
24.2650062,10.3222168,2100,1700
24.2887082,10.3207827,2200,1700
24.3124109,10.3193517,2300,1700
24.3361144,10.3179237,2400,1700
24.3598189,10.3164989,2500,1700
24.3835247,10.3150771,2600,1700
24.4072317,10.3136585,2700,1700
24.4309403,10.3122429,2800,1700
24.4546506,10.3108303,2900,1700
24.4783627,10.3094208,3000,1700
24.5020768,10.3080144,3100,1700
24.5257932,10.3066109,3200,1700
24.5495119,10.3052105,3300,1700
24.5732331,10.3038131,3400,1700
24.596957,10.3024187,3500,1700
24.6206838,10.3010273,3600,1700
24.6444136,10.2996389,3700,1700
24.6681467,10.2982535,3800,1700
24.6918831,10.296871,3900,1700
24.7153856,10.2955053,3999,1700
23.7668448,10.3368864,0,1800
23.79057,10.3353831,100,1800
23.8142923,10.3338831,200,1800
23.8380119,10.3323865,300,1800
23.861729,10.3308932,400,1800
23.8854438,10.3294032,500,1800
23.9091564,10.3279165,600,1800
23.9328669,10.3264331,700,1800
23.9565757,10.324953,800,1800
23.9802827,10.3234761,900,1800
24.0039882,10.3220025,1000,1800
24.0276924,10.3205321,1100,1800
24.0513955,10.3190649,1200,1800
24.0750975,10.3176009,1300,1800
24.0987987,10.3161402,1400,1800
24.1224992,10.3146827,1500,1800
24.1461992,10.3132283,1600,1800
24.1698989,10.3117771,1700,1800
24.1935984,10.3103291,1800,1800
24.2172979,10.3088843,1900,1800
24.2409976,10.3074425,2000,1800
24.2646976,10.306004,2100,1800
24.2883982,10.3045685,2200,1800
24.3120994,10.3031362,2300,1800
24.3358014,10.301707,2400,1800
24.3595045,10.3002808,2500,1800
24.3832087,10.2988578,2600,1800
24.4069143,10.2974378,2700,1800
24.4306214,10.2960209,2800,1800
24.4543302,10.2946071,2900,1800
24.4780408,10.2931963,3000,1800
24.5017534,10.2917886,3100,1800
24.5254683,10.2903839,3200,1800
24.5491854,10.2889822,3300,1800
24.5729051,10.2875835,3400,1800
24.5966276,10.2861879,3500,1800
24.6203528,10.2847952,3600,1800
24.6440811,10.2834056,3700,1800
24.6678126,10.2820189,3800,1800
